"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"DJ Ivey","CIN","0.5","0.1","0.0","0.1","0.0","0.0","0.0","0.0","1.2"
"Mike Brown","NE","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Joshua Williams","TEN","0.5","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.1"
"Michael Carter II","PHI","0.5","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.1"
"Daniel Thomas","CLE","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"D'Angelo Ross","CLE","0.5","0.1","0.0","0.1","0.0","0.0","0.0","0.0","1.1"
"Qwan'tez Stiggers","NYJ","0.5","0.1","0.0","0.1","0.0","0.0","0.0","0.0","1.0"
"Hunter Wohler","IND","0.5","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"T.J. Tampa Jr.","BAL","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Ephesians Prysock","SF","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Brandin Echols","PIT","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Charles Woods","NE","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Christian Braswell","JAC","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Caelen Carson","DAL","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.8"
"Ashtyn Davis","SF","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Jaylen Reed","NE","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Chris Roland-Wallace","KC","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Karon Prunty","NE","0.3","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.7"
"Kendell Brooks","TEN","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Kitan Crawford","ARI","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Dalton Johnson","LV","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Devin Moore","DAL","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Rayuan Lane III","JAC","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
