"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dareke Young","LV","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"LaJohntay Wester","BAL","0.1","0.9","0.0","0.0","0.1","0.0","0.0","0.1"
"Elijah Moore","PHI","0.0","0.5","0.0","0.1","0.9","0.0","0.0","0.1"
"Skyy Moore","GB","0.1","0.9","0.0","0.0","0.2","0.0","0.0","0.1"
"Efton Chism III","NE","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"Devin Duvernay","ARI","0.1","0.7","0.0","0.0","0.1","0.0","0.0","0.1"
"Anthony Gould","IND","0.1","0.7","0.0","0.0","0.1","0.0","0.0","0.1"
"Tyler Johnson","DAL","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Chase Roberts","LV","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Trebor Pena","JAC","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Dante Pettis","BUF","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Charlie Jones","CIN","0.1","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Tyrell Shavers","BUF","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Van Jefferson","WAS","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Nikko Remigio","KC","0.0","0.5","0.0","0.0","0.1","0.0","0.0","0.1"
"Deven Thompkins","LV","0.1","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Casey Washington","CAR","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Tom Kennedy","DET","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jalin Hyatt","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Theo Wease Jr.","MIA","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricky White III","SEA","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"Terrace Marshall Jr.","MIA","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Palmer","NO","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Noah Thomas","CIN","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Aiyuk","SF","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Trammell","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Weaver","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Drummond","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Brazzell II","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
