"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"John Franklin-Myers","TEN","1.3","0.9","0.3","0.0","0.0","0.0","0.0","0.0","4.0"
"Kenneth Grant","MIA","1.6","1.0","0.1","0.1","0.0","0.0","0.0","0.0","4.0"
"Darius Robinson","ARI","1.9","1.1","0.1","0.0","0.0","0.0","0.0","0.0","4.0"
"Kenny Clark","DAL","1.6","1.0","0.2","0.1","0.0","0.0","0.0","0.0","4.0"
"Calijah Kancey","TB","1.4","0.6","0.3","0.0","0.0","0.1","0.0","0.0","4.0"
"Shelby Harris","NYG","1.7","1.0","0.1","0.1","0.0","0.0","0.0","0.0","4.0"
"Al-Quadin Muhammad","TB","1.3","0.6","0.3","0.0","0.0","0.0","0.0","0.0","4.0"
"Dani Dennis-Sutton","GB","1.6","0.7","0.2","0.1","0.0","0.0","0.0","0.0","4.0"
"Karl Brooks","GB","1.5","1.0","0.1","0.1","0.0","0.0","0.0","0.0","3.9"
"Jamaree Caldwell","LAC","1.6","1.0","0.1","0.1","0.0","0.1","0.0","0.0","3.9"
"Tyrion Ingram-Dawkins","MIN","1.7","0.7","0.1","0.0","0.0","0.0","0.0","0.0","3.9"
"Joshua Josephs","WAS","1.7","0.7","0.2","0.1","0.0","0.0","0.0","0.0","3.9"
"Zaven Collins","ARI","1.5","0.7","0.2","0.1","0.0","0.0","0.0","0.0","3.9"
"Kain Medrano","WAS","1.5","0.6","0.2","0.1","0.0","0.0","0.0","0.0","3.9"
"Caleb Banks","MIN","1.5","0.9","0.2","0.1","0.0","0.0","0.0","0.0","3.9"
"Christian Barmore","NE","1.6","0.9","0.2","0.0","0.0","0.0","0.0","0.0","3.8"
"Dondrea Tillman","DEN","1.4","1.0","0.2","0.1","0.0","0.0","0.0","0.0","3.8"
"R Mason Thomas","KC","1.2","0.5","0.3","0.1","0.0","0.1","0.0","0.0","3.8"
"Josaiah Stewart","LAR","1.4","0.6","0.2","0.2","0.0","0.0","0.0","0.0","3.8"
"Jonah Elliss","DEN","1.6","0.7","0.2","0.1","0.0","0.0","0.0","0.0","3.8"
"Tershawn Wharton","CAR","1.5","1.2","0.1","0.0","0.0","0.0","0.0","0.0","3.8"
"Von Miller","DAL","1.2","0.5","0.3","0.0","0.0","0.0","0.0","0.0","3.8"
"Solomon Thomas","TEN","1.8","0.9","0.1","0.0","0.0","0.0","0.0","0.0","3.8"
"Logan Hall","HOU","1.7","0.9","0.1","0.1","0.0","0.0","0.0","0.0","3.7"
"Adetomiwa Adebawore","IND","1.6","0.8","0.2","0.1","0.0","0.0","0.0","0.0","3.7"
"Eyioma Uwazurike","DEN","1.7","1.1","0.1","0.0","0.0","0.0","0.0","0.0","3.7"
"Darius Alexander","NYG","1.5","0.9","0.2","0.1","0.0","0.0","0.0","0.0","3.7"
"Keldric Faulk","TEN","1.4","0.6","0.2","0.1","0.0","0.1","0.0","0.0","3.7"
"Isaiah McGuire","CLE","1.4","0.7","0.2","0.0","0.0","0.1","0.0","0.0","3.6"
"Warren Brinson","GB","1.5","0.8","0.1","0.1","0.0","0.0","0.0","0.0","3.6"
"Trey Moore","MIA","1.8","0.8","0.0","0.1","0.0","0.0","0.0","0.0","3.6"
"Alim McNeill","DET","1.2","0.8","0.2","0.1","0.0","0.1","0.0","0.0","3.6"
"Gabe Jacas","NE","1.4","0.6","0.2","0.1","0.0","0.0","0.0","0.0","3.6"
"Kingsley Enagbare","NYJ","1.6","0.7","0.1","0.1","0.0","0.0","0.0","0.0","3.6"
"Micah Parsons","GB","0.8","0.5","0.4","0.0","0.0","0.1","0.0","0.0","3.6"
"Cam Jackson","CAR","1.7","0.9","0.1","0.1","0.0","0.0","0.0","0.0","3.5"
"Peter Woods","KC","1.4","0.8","0.1","0.1","0.0","0.0","0.0","0.0","3.5"
"Sebastian Joseph-Day","PIT","1.7","0.9","0.1","0.0","0.0","0.0","0.0","0.0","3.5"
"Dante Fowler Jr.","SEA","1.2","0.5","0.3","0.0","0.0","0.0","0.0","0.0","3.5"
"Alfred Collins","SF","1.1","0.8","0.1","0.1","0.0","0.1","0.1","0.0","3.5"
"BJ Ojulari","ARI","1.4","0.6","0.1","0.1","0.0","0.0","0.0","0.0","3.5"
"Jacob Martin","TEN","1.3","0.6","0.2","0.0","0.0","0.0","0.0","0.0","3.4"
"Myles Murphy","CIN","1.3","0.8","0.2","0.1","0.0","0.0","0.0","0.0","3.4"
"Cameron Goode","MIA","1.4","0.6","0.1","0.1","0.0","0.0","0.0","0.0","3.4"
"Dalvin Tomlinson","LAC","1.4","0.8","0.2","0.0","0.0","0.0","0.0","0.0","3.4"
"Dante Stills","ARI","1.5","0.9","0.1","0.0","0.0","0.0","0.0","0.0","3.3"
"Michael Hoecht","BUF","1.4","0.6","0.2","0.1","0.0","0.0","0.0","0.0","3.3"
"DeWayne Carter","BUF","1.5","0.8","0.1","0.0","0.0","0.0","0.0","0.0","3.3"
"John Jenkins","BAL","1.4","1.0","0.1","0.0","0.0","0.0","0.0","0.0","3.3"
"JT Tuimoloau","IND","1.1","0.8","0.3","0.0","0.0","0.0","0.0","0.0","3.3"
"John Ridgeway III","NO","1.6","0.8","0.0","0.0","0.0","0.0","0.0","0.0","3.3"
"Princely Umanmielen","CAR","1.2","0.6","0.1","0.1","0.0","0.1","0.0","0.0","3.2"
"Gracen Halton","SF","1.5","0.8","0.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Tavius Robinson","BAL","1.2","0.7","0.2","0.1","0.0","0.0","0.0","0.0","3.2"
"Anthony Nelson","TB","1.3","0.5","0.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Maason Smith","ATL","1.4","0.7","0.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Malcolm Koonce","LV","1.0","0.6","0.2","0.0","0.0","0.0","0.0","0.0","3.2"
"Jonathan Bullard","DAL","1.5","0.9","0.0","0.1","0.0","0.0","0.0","0.0","3.1"
