"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tutu Atwell","MIA","WR117","0.1","0.4","0.0","0.9","13.3","0.0","0.0","2.0"
"Josh Oliver","MIN","TE51","0.0","0.0","0.0","1.0","9.9","0.1","0.0","2.0"
"Emanuel Wilson","SEA","RB75","2.5","10.4","0.1","0.3","2.0","0.0","0.0","2.0"
"Eli Stowers","PHI","TE52","0.1","0.4","0.0","0.9","9.9","0.1","0.0","2.0"
"Tommy Tremble","CAR","TE53","0.0","0.0","0.0","1.0","9.3","0.1","0.0","1.9"
"Roman Wilson","PIT","WR118","0.0","0.0","0.0","0.8","10.9","0.1","0.0","1.9"
"Treylon Burks","WAS","WR119","0.1","0.3","0.0","0.8","10.5","0.1","0.0","1.9"
"Isaiah Bond","CLE","WR120","0.2","0.9","0.0","0.7","9.9","0.1","0.0","1.9"
"Isaiah Williams","NYJ","WR121","0.2","0.9","0.0","1.1","10.8","0.0","0.0","1.9"
"Tyler Higbee","LAR","TE54","0.0","0.0","0.0","0.9","9.6","0.1","0.0","1.9"
"Nicholas Singleton","TEN","RB76","2.0","8.4","0.1","0.5","3.5","0.0","0.0","1.9"
"Mason Tipton","NO","WR122","0.0","0.0","0.0","1.0","11.4","0.0","0.0","1.9"
"Eli Raridon","NE","TE55","0.0","0.0","0.0","1.0","9.4","0.1","0.0","1.8"
"Tez Johnson","TB","WR123","0.2","0.8","0.0","0.7","8.9","0.1","0.0","1.8"
"Jordyn Tyson","NO","WR124","0.0","0.0","0.0","0.9","10.7","0.1","0.0","1.8"
"Greg Dortch","DET","WR125","0.3","1.3","0.0","0.8","7.8","0.1","0.0","1.8"
"Jordan James","SF","RB77","2.2","9.0","0.1","0.3","2.4","0.0","0.0","1.8"
"Luke Musgrave","GB","TE56","0.0","0.0","0.0","1.0","9.2","0.1","0.0","1.8"
"Drew Sample","CIN","TE57","0.0","0.1","0.0","0.9","8.1","0.1","0.0","1.7"
"Justin Joly","DEN","TE58","0.0","0.0","0.0","0.9","8.7","0.1","0.0","1.7"
"Demond Claiborne","MIN","RB78","1.4","5.8","0.1","0.6","4.2","0.0","0.0","1.7"
"Kyle Juszczyk","SF","RB79","0.2","0.6","0.0","1.0","7.9","0.1","0.0","1.7"
